model,attention,position,final_epoch,best_val_acc,best_val_loss,train_time_min
AlexNet,None,none,9,0.777734375,0.6997328042984009,2.2718971172968545
AlexNet,SE,mid2,10,0.77578125,0.707365944236517,2.5583656311035154
AlexNet,CBAM,early,11,0.77578125,0.7089233480393886,2.8592897176742555
AlexNet,SE,mid1,11,0.7744140625,0.6969260104000569,2.8099313219388327
AlexNet,CBAM,mid1,11,0.773046875,0.7140422824770212,2.8444447994232176
AlexNet,SE,early,10,0.77109375,0.7203754700720311,2.5447726448376975
AlexNet,CBAM,late,11,0.76484375,0.7136978000402451,2.912745479742686
AlexNet,CBAM,mid2,9,0.7625,0.7398316845297813,2.35280024210612
LeNet,None,none,10,0.759765625,0.7383813336491585,2.6554341832796733
LeNet,CBAM,early,11,0.755078125,0.7191404577344656,2.794233198960622
AlexNet,SE,late,11,0.75390625,0.748248502612114,2.8495789647102354
LeNet,CBAM,late,11,0.753125,0.7121948078274727,2.771013124783834
LeNet,SE,early,11,0.7513671875,0.7455442018806935,2.893593200047811
LeNet,SE,mid,11,0.74765625,0.7409758612513542,2.876622458299001
LeNet,CBAM,mid,11,0.744140625,0.7979778707027435,2.806983701388041
LeNet,SE,late,9,0.7421875,0.7609417259693145,2.255713152885437
