model,attention,position,best_val_acc,best_val_loss,test_acc,train_time_min,avg_epoch_s,images_per_sec
ResNet18,CBAM,late,0.866796875,0.4380144671536982,0.8530458860759493,3.6502774675687153,18.25138733784358,2465.5659959993377
ResNet18,SE,late,0.86015625,0.47224558852612974,0.8455300632911392,3.538318665822347,17.691593329111736,2543.5809631658185
ResNet18,CBAM,early,0.8578125,0.49523573461920023,0.8407832278481012,3.789582153161367,18.947910765806835,2374.932020537401
ResNet18,SE,early,0.856640625,0.5009027181193233,0.8434533227848101,3.5936333298683167,17.968166649341583,2504.429131708268
ResNet18,None,none,0.85546875,0.48245317079126837,0.8463212025316456,3.456032439072927,17.280162195364635,2604.1422233913495
ResNet18,SE,mid1,0.8552734375,0.48779397159814836,0.8473101265822784,3.5462198932965596,17.7310994664828,2537.913685784898
ResNet18,SE,mid2,0.8544921875,0.487557783536613,0.8500791139240507,3.529512655735016,17.64756327867508,2549.9271083151175
ResNet18,CBAM,mid2,0.854296875,0.5018806542968377,0.8404865506329114,3.6262152075767515,18.13107603788376,2481.9266052370685
ResNet18,CBAM,mid1,0.8541015625,0.5068645782768726,0.8442444620253164,3.6558037678400677,18.279018839200337,2461.83892012273
ResNet18,SE,all,0.85234375,0.4882581792771816,0.837618670886076,3.811397643884023,19.056988219420116,2361.338501229829
ResNet18,CBAM,all,0.8484375,0.5233967088162899,0.8332674050632911,4.363463354110718,21.81731677055359,2062.581777275913
AlexNet,None,none,0.8123046875,0.6555214487016201,0.799248417721519,1.6502028226852417,8.251014113426208,5453.875048737965
AlexNet,SE,early,0.8080078125,0.6185636766254902,0.7916337025316456,1.7034063736597698,8.517031868298849,5283.530776430931
AlexNet,SE,mid1,0.804296875,0.6592152014374733,0.7952927215189873,1.7236210664113363,8.61810533205668,5221.565328589561
AlexNet,CBAM,late,0.801953125,0.6365363791584968,0.7889636075949367,1.8129103541374207,9.064551770687103,4964.393291405841
AlexNet,SE,late,0.801171875,0.6335346646606922,0.793809335443038,1.7328287045160928,8.664143522580465,5193.819779499398
AlexNet,CBAM,mid2,0.8009765625,0.6416998378932476,0.7863924050632911,1.7725319822629293,8.862659911314646,5077.4824319446225
AlexNet,SE,mid2,0.7998046875,0.6670312054455281,0.7855023734177216,1.7000750263532003,8.500375131766,5293.884011287275
AlexNet,CBAM,early,0.7994140625,0.6759909853339195,0.7933148734177216,1.7293224175771078,8.646612087885538,5204.350506604535
AlexNet,CBAM,mid1,0.796875,0.6649841859936714,0.7973694620253164,1.7345199982325237,8.672599991162619,5188.755395827666
LeNet,None,none,0.7908203125,0.6835094206035137,0.7736352848101266,1.5556471904118856,7.778235952059428,5785.373480227922
LeNet,SE,mid,0.7876953125,0.6822823368012905,0.7744264240506329,1.613241438070933,8.066207190354666,5578.830166154135
LeNet,CBAM,early,0.78515625,0.6723924398422241,0.7787776898734177,1.6774424235026042,8.387212117513021,5365.310829093877
LeNet,SE,late,0.784765625,0.6712469350546598,0.7674050632911392,1.651621679464976,8.25810839732488,5449.18979443007
LeNet,CBAM,mid,0.7828125,0.6947040759027004,0.7700751582278481,1.6738479336102803,8.369239668051401,5376.832518225313
LeNet,CBAM,late,0.7826171875,0.6909141138195991,0.771756329113924,1.7083802024523418,8.54190101226171,5268.148148217066
AlexNet,SE,all,0.7796875,0.6719747848808766,0.7701740506329114,2.511915993690491,9.41968497633934,4777.229823824513
LeNet,SE,early,0.7740234375,0.7000566139817238,0.763943829113924,1.662987478574117,8.314937392870585,5411.946942448901
LeNet,SE,all,0.7638671875,0.6989190097898245,0.7622626582278481,1.9046485344568889,8.790685543647179,5119.05468311518
LeNet,CBAM,all,0.739453125,0.7492660336196423,0.7394185126582279,2.562980635960897,9.611177384853363,4682.048639630488
AlexNet,CBAM,all,0.101953125,2.302816241979599,0.09889240506329114,1.0148982167243958,10.148982167243958,4433.942168628338
